timestamp,high,low,open,close,ltp,prevclose,volume,CH_TOT_TRADED_VAL,h52w,l52w,ISIN,VWAP,symChange,day_rise,strength,gapup,RSI,macd,macd_signal,macd_hist
2024-07-23,132.6,123.05,131.89,131.55,132.5,130.98,5747902,744129334.43,164.36,62.3,INE069I01010,129.46,,-0.26,0.80,0.44,33.92,-5.91,nan,nan
2024-07-23,132.6,123.05,131.89,131.55,132.5,130.98,5747902,744129334.43,164.36,62.3,INE069I01010,129.46,,-0.26,0.80,0.44,33.92,-5.97,nan,nan
2024-07-24,138.49,132.0,132.35,136.34,136.5,131.55,6862795,936976011.98,164.36,62.3,INE069I01010,136.53,,3.01,1.58,3.64,44.03,-5.57,nan,nan
2024-07-25,138.61,134.0,134.49,135.11,135.25,136.34,3944364,539040187.25,164.36,62.3,INE069I01010,136.66,,0.46,2.59,-0.90,42.25,-5.29,nan,nan
2024-07-26,141.25,134.8,135.0,139.0,139.2,135.11,5067298,702308097.3,164.36,62.3,INE069I01010,138.6,,2.96,1.62,2.88,49.26,-4.70,nan,nan
2024-07-29,142.5,135.48,139.75,136.3,136.89,139.0,4192315,580501030.34,164.36,62.3,INE069I01010,138.47,,-2.47,4.55,-1.94,45.16,-4.40,nan,nan
2024-07-30,138.25,135.0,136.5,135.93,136.09,136.3,3811535,519639538.4,164.36,62.3,INE069I01010,136.33,,-0.42,1.71,-0.27,44.61,-4.14,nan,nan
2024-07-31,140.8,134.81,136.18,135.85,135.91,135.93,6309653,866701078.05,164.36,62.3,INE069I01010,137.36,,-0.24,3.64,-0.06,44.49,-3.90,-5.07,1.17
2024-08-01,137.2,132.51,136.55,134.03,134.5,135.85,3919184,527257803.82,164.36,62.3,INE069I01010,134.53,,-1.85,2.37,-1.34,41.61,-3.81,-4.82,1.01
2024-08-02,133.69,130.35,132.0,132.54,132.45,134.03,4626513,610052290.19,164.36,62.3,INE069I01010,131.86,,0.41,0.87,-1.11,39.37,-3.82,-4.62,0.80
2024-08-05,129.22,122.25,128.05,124.85,124.75,132.54,7282874,916629190.35,164.36,62.3,INE069I01010,125.86,,-2.50,3.50,-5.80,30.30,-4.39,-4.58,0.18
